RA,Fase,Turma,Nome,Ano_Nascimento,Idade,Genero,Ano_Ingresso,Instituicao_Ensino,Ano_Referencia,Pedra_20,Pedra_21,Pedra_22,INDE_22,Num_Av,Avaliador1,Avaliador2,Avaliador3,IAA,IEG,IPS,IDA,Mat,Por,Ing,Atingiu_PV,IPV,IAN,Fase_Ideal,Defasagem,Pedra_23,Pedra_23_1,IPP,Pedra_24,Pedra
RA-931,Alfa,Alfa K - G0/G1,Aluno-931,2015,8,M,2023,Publica,2023,,,,,2.0,Avaliador-11,Avaliador-3,,8.5,8.2,2.52,7.8,7.0,8.5,,,7.6,10.0,Alfa,0,Ametista,,5.625,,
RA-932,Alfa,Alfa K - G0/G1,Aluno-932,2015,7,F,2023,Publica,2023,,,,,2.0,Avaliador-11,Avaliador-3,,9.5,7.9,7.52,7.5,6.5,8.4,,,9.0,10.0,Alfa,0,Topazio,,8.125,,
RA-933,Alfa,Alfa K - G0/G1,Aluno-933,2015,8,F,2023,Publica,2023,,,,,2.0,Avaliador-11,Avaliador-3,,9.0,8.4,7.52,7.7,8.0,7.3,,,9.67,10.0,Alfa,0,Topazio,,8.75,,
RA-934,Alfa,Alfa K - G0/G1,Aluno-934,2015,8,F,2023,Publica,2023,,,,,2.0,Avaliador-11,Avaliador-3,,9.0,9.6,7.52,8.7,8.3,9.0,,,9.67,10.0,Alfa,0,Topazio,,9.375,,
RA-935,Alfa,Alfa K - G0/G1,Aluno-935,2014,9,M,2023,Publica,2023,,,,,2.0,Avaliador-11,Avaliador-3,,0.0,9.8,7.52,9.4,9.2,9.5,,,9.67,5.0,Fase 1,-1,Ametista,,9.375,,
RA-936,Alfa,Alfa K - G0/G1,Aluno-936,2015,8,F,2023,Publica,2023,,,,,2.0,Avaliador-11,Avaliador-3,,9.0,10.0,7.52,6.5,5.0,8.0,,,8.915,10.0,Alfa,0,Topazio,,8.125,,
RA-937,Alfa,Alfa K - G0/G1,Aluno-937,2015,8,F,2023,Publica,2023,,,,,2.0,Avaliador-11,Avaliador-3,,9.5,9.6,7.52,9.2,9.0,9.3,,,9.67,10.0,Alfa,0,Topazio,,9.375,,
RA-756,Alfa,Alfa K - G0/G1,Aluno-756,2013,10,M,2022,Publica,2023,,,Agata,6.976,2.0,Avaliador-11,Avaliador-3,,10.0,8.7,7.52,6.1,5.4,6.8,,,6.59,5.0,Fase 2,-2,Ametista,,5.625,,
RA-938,Alfa,Alfa K - G0/G1,Aluno-938,2014,9,M,2023,Publica,2023,,,,,2.0,Avaliador-11,Avaliador-3,,8.5,8.4,7.52,4.2,0.0,8.3,,,7.5,5.0,Fase 1,-1,Agata,,6.25,,
RA-939,Alfa,Alfa L - G2/G3,Aluno-939,2012,11,F,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,9.0,10.0,7.52,5.4,5.0,5.7,,,10.01,5.0,Fase 2,-2,Ametista,,7.5,,
RA-789,Alfa,Alfa L - G2/G3,Aluno-789,2015,8,F,2022,Publica,2023,,,Ametista,7.405,2.0,Avaliador-13,Avaliador-3,,0.0,9.5,7.52,7.9,8.5,7.2,,,10.01,10.0,Alfa,0,Ametista,,7.5,,
RA-792,Alfa,Alfa L - G2/G3,Aluno-792,2013,10,F,2022,Publica,2023,,,Agata,7.025,2.0,Avaliador-13,Avaliador-3,,9.0,7.7,7.52,7.2,6.8,7.5,,,9.085,5.0,Fase 2,-2,Ametista,,6.875,,
RA-940,Alfa,Alfa L - G2/G3,Aluno-940,2012,11,M,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,9.0,8.4,2.52,6.3,6.8,5.7,,,7.02,5.0,Fase 2,-2,Agata,,6.25,,
RA-941,Alfa,Alfa L - G2/G3,Aluno-941,2015,8,F,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,8.0,10.0,7.52,5.0,5.0,5.0,,,8.175,10.0,Alfa,0,Ametista,,5.0,,
RA-942,Alfa,Alfa L - G2/G3,Aluno-942,2013,10,F,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,9.5,8.9,2.52,7.1,7.3,6.8,,,7.0,5.0,Fase 2,-2,Agata,,5.625,,
RA-943,Alfa,Alfa L - G2/G3,Aluno-943,2015,8,F,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,9.5,9.4,7.52,8.0,8.0,8.0,,,9.925,10.0,Alfa,0,Topazio,,7.5,,
RA-782,Alfa,Alfa L - G2/G3,Aluno-782,2014,9,M,2022,Publica,2023,,,Ametista,7.485,2.0,Avaliador-13,Avaliador-3,,8.5,9.8,2.52,7.5,8.3,6.7,,,9.345,5.0,Fase 1,-1,Ametista,,7.5,,
RA-768,Alfa,Alfa L - G2/G3,Aluno-768,2012,11,F,2021,Publica,2023,,Ametista,Ametista,7.646,2.0,Avaliador-13,Avaliador-3,,10.0,9.1,7.52,7.9,8.0,7.8,,,10.01,5.0,Fase 2,-2,Topazio,,7.5,,
RA-794,Alfa,Alfa L - G2/G3,Aluno-794,2014,9,F,2022,Publica,2023,,,Ametista,7.335,2.0,Avaliador-13,Avaliador-3,,9.0,9.2,7.52,6.2,5.2,7.2,,,10.01,5.0,Fase 1,-1,Ametista,,7.5,,
RA-795,Alfa,Alfa L - G2/G3,Aluno-795,2014,9,F,2022,Publica,2023,,,Topazio,8.064,2.0,Avaliador-13,Avaliador-3,,9.0,9.6,7.52,8.2,8.7,7.7,,,10.01,5.0,Fase 1,-1,Topazio,,7.5,,
RA-944,Alfa,Alfa M - G0/G1,Aluno-944,2014,9,F,2023,Publica,2023,,,,,2.0,Avaliador-11,Avaliador-3,,9.0,7.6,7.52,7.5,9.2,5.8,,,6.67,5.0,Fase 1,-1,Ametista,,5.625,,
RA-945,Alfa,Alfa M - G0/G1,Aluno-945,2015,8,M,2023,Publica,2023,,,,,2.0,Avaliador-11,Avaliador-3,,8.5,9.2,7.52,7.9,8.0,7.8,,,6.84,10.0,Alfa,0,Topazio,,6.875,,
RA-946,Alfa,Alfa M - G0/G1,Aluno-946,2016,7,M,2023,Publica,2023,,,,,2.0,Avaliador-11,Avaliador-3,,9.5,9.4,7.52,9.3,9.0,9.5,,,7.0,10.0,Alfa,0,Topazio,,7.5,,
RA-754,Alfa,Alfa M - G0/G1,Aluno-754,2013,10,M,2022,Publica,2023,,,Agata,6.602,2.0,Avaliador-11,Avaliador-3,,9.5,6.1,2.52,5.6,5.7,5.4,,,6.67,5.0,Fase 2,-2,Agata,,6.875,,
RA-947,Alfa,Alfa M - G0/G1,Aluno-947,2015,8,M,2023,Publica,2023,,,,,2.0,Avaliador-11,Avaliador-3,,9.0,7.9,7.52,3.3,1.7,4.9,,,5.08,10.0,Alfa,0,Agata,,4.375,,
RA-948,Alfa,Alfa M - G0/G1,Aluno-948,2015,8,F,2023,Publica,2023,,,,,2.0,Avaliador-11,Avaliador-3,,9.0,7.6,7.52,0.0,0.0,0.0,,,8.34,10.0,Alfa,0,Agata,,6.875,,
RA-949,Alfa,Alfa M - G0/G1,Aluno-949,2015,8,F,2023,Publica,2023,,,,,2.0,Avaliador-11,Avaliador-3,,9.5,8.1,7.52,8.9,9.1,8.6,,,6.5,10.0,Alfa,0,Topazio,,6.25,,
RA-950,Alfa,Alfa M - G0/G1,Aluno-950,2014,8,F,2023,Publica,2023,,,,,2.0,Avaliador-11,Avaliador-3,,9.0,10.0,7.52,9.3,9.5,9.0,,,8.17,10.0,Alfa,0,Topazio,,7.5,,
RA-773,Alfa,Alfa M - G0/G1,Aluno-773,2013,9,F,2022,Publica,2023,,,Agata,6.922,2.0,Avaliador-11,Avaliador-3,,10.0,7.5,2.52,7.9,8.0,7.8,,,7.67,5.0,Fase 1,-1,Agata,,5.625,,
RA-951,Alfa,Alfa M - G0/G1,Aluno-951,2016,7,F,2023,Publica,2023,,,,,2.0,Avaliador-11,Avaliador-3,,9.5,9.7,7.52,8.4,8.5,8.3,,,9.09,10.0,Alfa,0,Topazio,,7.5,,
RA-769,Alfa,Alfa N - G2/G3,Aluno-769,2013,10,F,2022,Publica,2023,,,Ametista,7.598,2.0,Avaliador-13,Avaliador-2,,10.0,9.3,3.77,8.0,8.2,7.8,,,8.675,5.0,Fase 2,-2,Ametista,,7.8125,,
RA-952,Alfa,Alfa N - G2/G3,Aluno-952,2015,8,M,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-2,,9.5,9.2,3.77,9.0,8.8,9.2,,,8.425,10.0,Alfa,0,Topazio,,7.1875,,
RA-826,Alfa,Alfa N - G2/G3,Aluno-826,2014,9,M,2022,Publica,2023,,,Ametista,7.776,2.0,Avaliador-13,Avaliador-2,,10.0,10.0,3.77,7.3,7.0,7.5,,,8.34,5.0,Fase 1,-1,Ametista,,7.8125,,
RA-953,Alfa,Alfa N - G2/G3,Aluno-953,2015,8,F,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-2,,7.4,8.8,3.14,8.3,8.5,8.0,,,7.09,10.0,Alfa,0,Ametista,,6.5625,,
RA-954,Alfa,Alfa N - G2/G3,Aluno-954,2015,8,F,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-2,,0.0,8.3,3.14,7.7,7.8,7.5,,,8.005,10.0,Alfa,0,Agata,,7.1875,,
RA-780,Alfa,Alfa N - G2/G3,Aluno-780,2013,10,F,2022,Publica,2023,,,Agata,6.955,2.0,Avaliador-13,Avaliador-2,,9.5,8.8,3.14,8.3,8.0,8.5,,,8.675,5.0,Fase 2,-2,Ametista,,8.75,,
RA-955,Alfa,Alfa N - G2/G3,Aluno-955,2013,10,F,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-2,,9.0,8.8,3.14,7.8,8.0,7.5,,,7.09,5.0,Fase 2,-2,Ametista,,6.875,,
RA-831,Alfa,Alfa N - G2/G3,Aluno-831,2013,9,M,2022,Publica,2023,,,Ametista,7.41,2.0,Avaliador-13,Avaliador-2,,8.0,9.4,3.77,8.3,8.8,7.8,,,8.59,5.0,Fase 1,-1,Ametista,,7.8125,,
RA-783,Alfa,Alfa N - G2/G3,Aluno-783,2014,9,M,2021,Publica,2023,,Ametista,Agata,6.996,2.0,Avaliador-13,Avaliador-2,,9.5,6.8,3.77,8.9,9.0,8.7,,,7.925,5.0,Fase 1,-1,Ametista,,7.5,,
RA-774,Alfa,Alfa N - G2/G3,Aluno-774,2014,9,F,2022,Publica,2023,,,Ametista,7.587,2.0,Avaliador-13,Avaliador-2,,0.0,9.5,3.14,6.9,7.7,6.0,,,6.34,5.0,Fase 1,-1,Quartzo,,5.0,,
RA-748,Alfa,Alfa O - G2/G3,Aluno-748,2013,10,M,2022,Publica,2023,,,Topazio,8.084,2.0,Avaliador-13,Avaliador-3,,9.5,9.7,7.52,9.1,9.0,9.2,,,10.01,5.0,Fase 2,-2,Topazio,,7.5,,
RA-749,Alfa,Alfa O - G2/G3,Aluno-749,2013,9,M,2022,Publica,2023,,,Ametista,7.484,2.0,Avaliador-13,Avaliador-3,,10.0,9.0,7.52,7.3,7.3,7.3,,,8.425,5.0,Fase 1,-1,Ametista,,5.625,,
RA-956,Alfa,Alfa O - G2/G3,Aluno-956,2012,11,M,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,8.0,7.5,7.52,7.8,7.8,7.8,,,9.345,5.0,Fase 2,-2,Ametista,,7.5,,
RA-787,Alfa,Alfa O - G2/G3,Aluno-787,2014,9,M,2022,Publica,2023,,,Ametista,7.205,2.0,Avaliador-13,Avaliador-3,,9.0,9.8,7.52,5.9,6.0,5.8,,,8.34,5.0,Fase 1,-1,Ametista,,5.625,,
RA-957,Alfa,Alfa O - G2/G3,Aluno-957,2014,8,F,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,10.0,9.3,7.52,9.1,9.0,9.2,,,9.925,10.0,Alfa,0,Topazio,,7.5,,
RA-753,Alfa,Alfa O - G2/G3,Aluno-753,2014,9,F,2022,Publica,2023,,,Topazio,8.481,2.0,Avaliador-13,Avaliador-3,,9.0,9.9,7.52,9.0,9.0,9.0,,,9.925,5.0,Fase 1,-1,Topazio,,7.5,,
RA-958,Alfa,Alfa O - G2/G3,Aluno-958,2015,8,F,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,10.0,9.8,7.52,9.3,9.3,9.3,,,9.84,10.0,Alfa,0,Topazio,,7.5,,
RA-755,Alfa,Alfa O - G2/G3,Aluno-755,2014,9,M,2022,Publica,2023,,,Topazio,8.566,2.0,Avaliador-13,Avaliador-3,,10.0,9.5,7.52,9.2,9.2,9.2,,,10.01,5.0,Fase 1,-1,Topazio,,7.5,,
RA-763,Alfa,Alfa O - G2/G3,Aluno-763,2012,10,F,2021,Publica,2023,,Agata,Ametista,7.402,2.0,Avaliador-13,Avaliador-3,,0.0,9.2,3.14,7.9,7.8,8.0,,,9.0,5.0,Fase 2,-2,Agata,,6.875,,
RA-757,Alfa,Alfa O - G2/G3,Aluno-757,2013,10,F,2022,Publica,2023,,,Topazio,8.26,2.0,Avaliador-13,Avaliador-3,,9.0,9.6,7.52,9.3,9.5,9.0,,,10.01,5.0,Fase 2,-2,Topazio,,7.5,,
RA-959,Alfa,Alfa O - G2/G3,Aluno-959,2015,8,M,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,10.0,9.6,7.52,7.7,7.7,7.7,,,8.84,10.0,Alfa,0,Topazio,,6.875,,
RA-960,Alfa,Alfa O - G2/G3,Aluno-960,2013,10,M,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,8.5,10.0,7.52,6.3,6.5,6.0,,,5.85,5.0,Fase 2,-2,Ametista,,5.625,,
RA-961,Alfa,Alfa O - G2/G3,Aluno-961,2014,9,M,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,0.0,8.7,2.52,6.2,6.2,6.2,,,8.665,5.0,Fase 1,-1,Quartzo,,5.3125,,
RA-962,Alfa,Alfa Q - G2/G3,Aluno-962,2014,9,F,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,9.0,9.2,7.52,8.7,9.5,7.8,,,10.01,5.0,Fase 1,-1,Topazio,,7.5,,
RA-805,Alfa,Alfa Q - G2/G3,Aluno-805,2014,9,M,2021,Publica,2023,,Ametista,Topazio,8.279,2.0,Avaliador-13,Avaliador-3,,0.0,9.1,7.52,6.8,6.8,6.8,,,7.175,5.0,Fase 1,-1,Agata,,6.25,,
RA-806,Alfa,Alfa Q - G2/G3,Aluno-806,2014,9,M,2022,Publica,2023,,,Ametista,7.561,2.0,Avaliador-13,Avaliador-3,,8.5,8.3,6.27,7.8,7.8,7.7,,,7.095,5.0,Fase 1,-1,Ametista,,6.875,,
RA-807,Alfa,Alfa Q - G2/G3,Aluno-807,2014,9,M,2022,Publica,2023,,,Topazio,8.121,2.0,Avaliador-13,Avaliador-3,,9.5,9.1,7.52,8.0,8.3,7.7,,,8.08,5.0,Fase 1,-1,Ametista,,6.25,,
RA-963,Alfa,Alfa Q - G2/G3,Aluno-963,2014,9,F,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,9.5,9.8,7.52,8.5,8.3,8.7,,,10.01,5.0,Fase 1,-1,Topazio,,7.5,,
RA-964,Alfa,Alfa Q - G2/G3,Aluno-964,2014,9,M,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,8.5,9.4,7.52,7.2,7.3,7.0,,,8.5,5.0,Fase 1,-1,Ametista,,6.875,,
RA-965,Alfa,Alfa Q - G2/G3,Aluno-965,2014,9,F,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,8.5,8.2,6.27,4.7,5.3,4.0,,,7.18,5.0,Fase 1,-1,Agata,,5.0,,
RA-966,Alfa,Alfa Q - G2/G3,Aluno-966,2014,9,M,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,10.0,10.0,7.52,5.0,5.0,5.0,,,7.675,5.0,Fase 1,-1,Ametista,,6.5625,,
RA-967,Alfa,Alfa Q - G2/G3,Aluno-967,2013,10,M,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,9.5,8.0,7.52,6.5,6.5,6.5,,,7.35,5.0,Fase 2,-2,Ametista,,5.625,,
RA-968,Alfa,Alfa Q - G2/G3,Aluno-968,2014,9,F,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,9.0,9.7,7.52,8.3,8.0,8.5,,,10.01,5.0,Fase 1,-1,Topazio,,7.5,,
RA-812,Alfa,Alfa Q - G2/G3,Aluno-812,2014,8,M,2022,Publica,2023,,,Ametista,7.497,2.0,Avaliador-13,Avaliador-3,,9.5,9.1,7.52,5.8,6.3,5.3,,,8.33,10.0,Alfa,0,Topazio,,6.875,,
RA-969,Alfa,Alfa Q - G2/G3,Aluno-969,2015,8,M,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,8.5,9.7,7.52,5.5,6.0,5.0,,,7.51,10.0,Alfa,0,Ametista,,6.25,,
RA-970,Alfa,Alfa R - G0/G1,Aluno-970,2015,8,F,2023,Publica,2023,,,,,2.0,Avaliador-11,Avaliador-3,,8.5,8.1,7.52,9.4,9.2,9.5,,,9.84,10.0,Alfa,0,Topazio,,9.375,,
RA-971,Alfa,Alfa R - G0/G1,Aluno-971,2015,8,M,2023,Publica,2023,,,,,2.0,Avaliador-11,Avaliador-3,,7.8,6.4,3.77,6.9,5.5,8.3,,,8.17,10.0,Alfa,0,Ametista,,5.625,,
RA-972,Alfa,Alfa R - G0/G1,Aluno-972,2015,8,M,2023,Publica,2023,,,,,2.0,Avaliador-11,Avaliador-3,,9.0,9.1,3.77,6.0,6.2,5.7,,,7.84,10.0,Alfa,0,Ametista,,6.875,,
RA-973,Alfa,Alfa R - G0/G1,Aluno-973,2014,9,M,2023,Publica,2023,,,,,2.0,Avaliador-11,Avaliador-3,,0.0,8.6,3.77,5.2,6.2,4.1,,,7.415,5.0,Fase 1,-1,Quartzo,,7.1875,,
RA-974,Alfa,Alfa R - G0/G1,Aluno-974,2015,7,M,2023,Publica,2023,,,,,2.0,Avaliador-11,Avaliador-3,,9.0,9.1,3.77,8.8,8.8,8.8,,,9.34,10.0,Alfa,0,Topazio,,7.5,,
RA-975,Alfa,Alfa R - G0/G1,Aluno-975,2015,7,F,2023,Publica,2023,,,,,2.0,Avaliador-11,Avaliador-3,,7.9,9.2,7.52,6.5,7.2,5.8,,,7.67,10.0,Alfa,0,Ametista,,5.625,,
RA-976,Alfa,Alfa R - G0/G1,Aluno-976,2015,8,M,2023,Publica,2023,,,,,2.0,Avaliador-11,Avaliador-3,,9.5,9.2,6.27,8.6,9.0,8.2,,,8.34,10.0,Alfa,0,Topazio,,5.9375,,
RA-977,Alfa,Alfa R - G0/G1,Aluno-977,2015,7,F,2023,Publica,2023,,,,,2.0,Avaliador-11,Avaliador-3,,8.5,7.4,5.02,5.8,5.7,5.9,,,8.085,10.0,Alfa,0,Ametista,,5.625,,
RA-978,Alfa,Alfa R - G0/G1,Aluno-978,2015,7,F,2023,Publica,2023,,,,,2.0,Avaliador-11,Avaliador-3,,9.0,9.8,3.77,8.6,8.7,8.5,,,9.34,10.0,Alfa,0,Topazio,,5.625,,
RA-979,Alfa,Alfa S - G2/G3,Aluno-979,2015,8,M,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,9.5,9.6,6.27,6.0,6.0,6.0,,,9.51,10.0,Alfa,0,Topazio,,5.625,,
RA-980,Alfa,Alfa S - G2/G3,Aluno-980,2015,8,F,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,0.0,9.8,5.02,6.3,6.5,6.0,,,9.34,10.0,Alfa,0,Ametista,,5.625,,
RA-808,Alfa,Alfa S - G2/G3,Aluno-808,2014,9,M,2022,Publica,2023,,,Topazio,8.361,2.0,Avaliador-13,Avaliador-3,,10.0,10.0,2.52,8.7,8.7,8.7,,,9.755,5.0,Fase 1,-1,Topazio,,7.5,,
RA-981,Alfa,Alfa S - G2/G3,Aluno-981,2016,7,F,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,9.5,9.1,2.52,5.8,5.7,5.8,,,9.01,10.0,Alfa,0,Ametista,,5.625,,
RA-982,Alfa,Alfa S - G2/G3,Aluno-982,2015,7,M,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,0.0,9.1,2.52,8.6,8.7,8.5,,,8.835,10.0,Alfa,0,Ametista,,5.625,,
RA-983,Alfa,Alfa S - G2/G3,Aluno-983,2014,8,M,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,8.5,9.9,2.52,8.8,8.8,8.8,,,9.415,10.0,Alfa,0,Topazio,,6.25,,
RA-984,Alfa,Alfa S - G2/G3,Aluno-984,2014,8,F,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,8.0,9.8,7.52,8.3,8.3,8.2,,,9.84,10.0,Alfa,0,Topazio,,6.875,,
RA-985,Alfa,Alfa S - G2/G3,Aluno-985,2015,8,M,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,9.0,9.3,2.52,6.8,7.3,6.2,,,8.5,10.0,Alfa,0,Ametista,,5.625,,
RA-986,Alfa,Alfa S - G2/G3,Aluno-986,2015,8,F,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,9.5,9.1,2.52,8.3,8.3,8.3,,,8.83,10.0,Alfa,0,Topazio,,5.625,,
RA-987,Alfa,Alfa S - G2/G3,Aluno-987,2015,8,M,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,0.0,9.8,6.27,7.3,7.5,7.0,,,9.76,10.0,Alfa,0,Ametista,,6.875,,
RA-988,Alfa,Alfa S - G2/G3,Aluno-988,2014,9,F,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,7.9,8.1,7.52,8.5,8.5,8.5,,,9.84,5.0,Fase 1,-1,Ametista,,6.25,,
RA-989,Alfa,Alfa S - G2/G3,Aluno-989,2014,9,M,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,9.5,8.1,2.52,8.3,8.7,7.8,,,10.01,5.0,Fase 1,-1,Ametista,,7.5,,
RA-677,Alfa,Alfa T - G2/G3,Aluno-677,2014,9,F,2021,Publica,2023,,Ametista,Topazio,8.358,2.0,Avaliador-13,Avaliador-3,,10.0,8.2,10.0,8.7,9.0,8.3,,,9.84,5.0,Fase 1,-1,Topazio,,6.875,,
RA-990,Alfa,Alfa T - G2/G3,Aluno-990,2014,9,M,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,0.0,8.5,7.52,7.8,8.3,7.2,,,10.01,5.0,Fase 1,-1,Ametista,,7.5,,
RA-991,Alfa,Alfa T - G2/G3,Aluno-991,2014,9,F,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,10.0,9.1,3.14,7.7,8.0,7.3,,,9.585,5.0,Fase 1,-1,Ametista,,6.875,,
RA-992,Alfa,Alfa T - G2/G3,Aluno-992,2012,10,M,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,9.5,8.2,3.14,8.0,8.2,7.8,,,8.84,5.0,Fase 2,-2,Ametista,,5.0,,
RA-703,Alfa,Alfa T - G2/G3,Aluno-703,2012,11,M,2021,Publica,2023,,Quartzo,Agata,6.099,2.0,Avaliador-13,Avaliador-3,,9.5,8.4,3.14,4.6,4.8,4.3,,,6.16,5.0,Fase 2,-2,Agata,,6.875,,
RA-993,Alfa,Alfa T - G2/G3,Aluno-993,2015,8,F,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,9.5,9.8,3.77,8.6,8.5,8.7,,,10.01,10.0,Alfa,0,Topazio,,7.5,,
RA-674,Alfa,Alfa T - G2/G3,Aluno-674,2014,9,M,2022,Publica,2023,,,Ametista,7.862,2.0,Avaliador-13,Avaliador-3,,7.9,8.5,3.77,5.2,5.3,5.0,,,8.67,5.0,Fase 1,-1,Agata,,5.0,,
RA-994,Alfa,Alfa T - G2/G3,Aluno-994,2014,8,F,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,9.5,9.4,3.77,6.0,6.2,5.7,,,7.265,10.0,Alfa,0,Ametista,,5.625,,
RA-995,Alfa,Alfa T - G2/G3,Aluno-995,2012,11,F,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,9.5,7.9,3.77,5.1,5.3,4.8,,,7.18,5.0,Fase 2,-2,Agata,,6.25,,
RA-996,Alfa,Alfa T - G2/G3,Aluno-996,2014,9,M,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,10.0,9.2,3.77,8.6,8.7,8.5,,,10.01,5.0,Fase 1,-1,Topazio,,7.5,,
RA-997,Alfa,Alfa T - G2/G3,Aluno-997,2015,8,M,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,7.5,8.7,3.77,7.1,7.2,7.0,,,8.595,10.0,Alfa,0,Ametista,,5.625,,
RA-998,Alfa,Alfa U - G2/G3,Aluno-998,2012,11,F,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,9.5,9.3,3.77,7.9,8.0,7.7,,,9.84,5.0,Fase 2,-2,Ametista,,7.5,,
RA-999,Alfa,Alfa U - G2/G3,Aluno-999,2014,9,M,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,9.0,9.4,3.77,8.3,8.3,8.3,,,9.84,5.0,Fase 1,-1,Topazio,,7.5,,
RA-750,Alfa,Alfa U - G2/G3,Aluno-750,2012,11,M,2019,Publica,2023,Agata,Agata,Agata,6.344,2.0,Avaliador-13,Avaliador-3,,9.5,7.7,3.14,3.4,3.3,3.5,,,6.32,5.0,Fase 2,-2,Quartzo,,4.375,,
RA-770,Alfa,Alfa U - G2/G3,Aluno-770,2015,8,M,2022,Publica,2023,,,Topazio,8.143,2.0,Avaliador-13,Avaliador-3,,0.0,8.3,3.77,5.9,6.0,5.7,,,8.92,10.0,Alfa,0,Agata,,6.875,,
RA-771,Alfa,Alfa U - G2/G3,Aluno-771,2015,7,F,2022,Publica,2023,,,Ametista,7.873,2.0,Avaliador-13,Avaliador-3,,0.0,8.8,3.14,8.2,8.2,8.2,,,8.585,10.0,Alfa,0,Ametista,,6.25,,
RA-1000,Alfa,Alfa U - G2/G3,Aluno-1000,2015,8,F,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,8.5,9.4,3.77,7.0,7.0,7.0,,,8.92,10.0,Alfa,0,Ametista,,6.25,,
RA-830,Alfa,Alfa U - G2/G3,Aluno-830,2013,9,F,2022,Publica,2023,,,Ametista,7.234,2.0,Avaliador-13,Avaliador-3,,0.0,8.9,3.14,8.3,8.3,8.3,,,9.505,5.0,Fase 1,-1,Agata,,6.25,,
RA-1001,Alfa,Alfa U - G2/G3,Aluno-1001,2014,9,F,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,9.0,9.1,7.52,7.8,8.3,7.3,,,9.17,5.0,Fase 1,-1,Topazio,,7.5,,
RA-1002,Alfa,Alfa U - G2/G3,Aluno-1002,2014,9,F,2023,Publica,2023,,,,,2.0,Avaliador-13,Avaliador-3,,9.0,9.7,7.52,7.0,7.0,7.0,,,8.92,5.0,Fase 1,-1,Ametista,,6.25,,
RA-1003,Alfa,Alfa V - G0/G1,Aluno-1003,2015,8,M,2023,Publica,2023,,,,,2.0,Avaliador-11,Avaliador-2,,9.0,8.5,7.52,4.0,8.0,0.0,,,8.75,10.0,Alfa,0,Ametista,,7.5,,
